yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
1871,TRO,NA,abercda01,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1871,RC1,NA,addybo01,25,25,25,25,0,0,0,22,0,3,0,0,0,0,0,0,0
1871,CL1,NA,allisar01,29,29,29,29,0,0,0,2,0,0,0,29,0,29,0,0,0
1871,WS3,NA,allisdo01,27,27,27,27,0,27,0,0,0,0,0,0,0,0,0,0,0
1871,RC1,NA,ansonca01,25,25,25,25,0,5,1,2,20,0,1,0,0,1,0,0,0
1871,FW1,NA,armstbo01,12,12,12,12,0,0,0,0,0,0,0,11,1,12,0,0,0
1871,RC1,NA,barkeal01,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1871,BS1,NA,barnero01,31,31,31,31,0,0,0,16,0,15,0,0,0,0,0,0,0
1871,FW1,NA,barrebi01,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1871,BS1,NA,barrofr01,18,17,18,18,0,0,0,1,0,0,13,0,4,17,0,0,0
1871,CL1,NA,bassjo01,22,22,22,22,0,1,0,0,0,22,0,0,0,0,0,0,0
1871,CL1,NA,battijo01,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1871,WS3,NA,bealsto01,10,10,10,10,0,0,0,2,0,0,4,0,4,8,0,0,0
1871,TRO,NA,beaveed01,3,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0
1871,PH1,NA,bechtge01,20,19,20,20,3,0,0,0,3,0,1,3,11,15,0,0,0
1871,TRO,NA,bellast01,29,29,29,29,0,0,0,0,28,1,0,0,0,0,0,0,0
1871,PH1,NA,berkena01,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1871,PH1,NA,berryto01,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1871,WS3,NA,berthha01,17,17,17,17,0,1,0,5,0,0,11,1,0,12,0,0,0
1871,FW1,NA,biermch01,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1871,RC1,NA,birdge01,25,25,25,25,0,0,0,0,0,0,1,25,0,25,0,0,0
1871,BS1,NA,birdsda01,29,29,29,29,0,7,0,0,0,0,0,0,27,27,0,0,0
1871,WS3,NA,brainas01,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0
1871,CH1,NA,brannmi01,3,3,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0
1871,WS3,NA,burrohe01,12,11,12,12,0,0,0,1,5,0,4,0,4,8,0,0,0
1871,FW1,NA,careyto01,19,19,19,19,0,0,0,19,0,0,0,0,0,0,0,0,0
1871,CL1,NA,carleji01,29,29,29,29,0,0,29,0,0,0,0,0,0,0,0,0,0
1871,BS1,NA,conefr01,19,18,19,19,0,0,0,0,0,0,18,0,1,19,0,0,0
